name,origin price,add-on_price,sale price,url,sale
Unlock ! (TH) - อันล็อค,"฿1,100.00",N/A,฿950.00,https://siamboardgames.com/product/unlock/,True
Toc Toc Woodman (TH) ต๊อก ต๊อก คนตัดไม้,฿750.00,N/A,฿625.00,https://siamboardgames.com/product/toc-toc-woodman/,True
Taco Cat Goat Chess Pizza (TH) ทาโก้ แมว แพะ ชีส พิซซ่า,฿459.00,N/A,N/A,https://siamboardgames.com/product/taco-cat-goat-chess-pizza/,False
Wingspan Oceania Expansion (TH) ปีกปักษา ภาคเสริม นกโอเชียเนีย,"฿1,050.00",N/A,฿910.00,https://siamboardgames.com/product/wingspan-oceania-expansion/,True
Coconut (TH) - ลิงยิงมะพร้าว,฿750.00,N/A,฿615.00,https://siamboardgames.com/product/coconut/,True
Point Salad (TH) สนุกสลัด,฿700.00,N/A,฿575.00,https://siamboardgames.com/product/point-salad/,True
Book - Captive (TH),฿499.00,N/A,N/A,https://siamboardgames.com/product/book-captive/,False
Fallout Shelter (TH),"฿1,450.00",N/A,"฿1,390.00",https://siamboardgames.com/product/fallout-shulter/,True
Tikal (TH) ตีกัล,"฿1,975.00",N/A,"฿1,495.00",https://siamboardgames.com/product/tikal/,True
Who did it (TH) นี่อึใคร!,฿459.00,N/A,฿295.00,https://siamboardgames.com/product/who-did-it/,True
[กล่องบุบ] Love Letter (TH) 2019 เกมจดหมายรัก,฿550.00,N/A,N/A,https://siamboardgames.com/product/love-letter-th-2019/,False
Keyforge Mass Mutation - Decks (TH) คีย์ฟอร์จ กองทัพกลายพันธุ์ - เด็ค,฿330.00,N/A,฿59.00,https://siamboardgames.com/product/keyforge-mass-mutation-decks/,True
Tea For 2 (TH) ชา 2 ถ้วยในดินแดนมหัศจรรย์,฿850.00,N/A,฿735.00,https://siamboardgames.com/product/tea-for-2/,True
Book - Knight (TH),฿499.00,N/A,N/A,https://siamboardgames.com/product/book-knight-th/,False
Go Town (TH) โกทาวน์,฿450.00,N/A,฿375.00,https://siamboardgames.com/product/go-town/,True
Ticket to Ride New York (TH) เกมต่อรถตะลุยนิวยอร์ก,฿765.00,N/A,฿670.00,https://siamboardgames.com/product/ticket-to-ride-new-york/,True
[กล่องบุบ] Wingspan European Expansion (TH) ปีกปักษา ภาคเสริม นกยุโรป,฿875.00,N/A,N/A,https://siamboardgames.com/product/wingspan-european-expansion/,False
King of Tokyo - Power Up (TH) ราชันแห่งโตเกียว พาวเวอร์อัป,฿660.00,N/A,฿550.00,https://siamboardgames.com/product/king-of-tokyo-power-up/,True
TM Turmoil (TH) เกมการเมือง,"฿1,150.00",N/A,฿970.00,https://siamboardgames.com/product/tm-turmoil/,True
Ultimate Werewolf Expansion (TH) รวมภาคเสริมเกมล่าปริศนามนุษย์หมาป่า,฿850.00,N/A,N/A,https://siamboardgames.com/product/ultimate-werewolf-expansion/,False
One Night Daybreak (TH) ๑ คืนปริศนาเกมล่ามนุษย์หมาป่ารุ่งอรุณ,฿850.00,฿925.00,N/A,https://siamboardgames.com/product/one-night-daybreak/,False
